shoulder_practical_trace   elbow_practical_trace
-34.587        -44.64
-34.569        -44.604
-34.551        -44.55
-34.533        -44.514
-34.515        -44.478
-34.497        -44.442
-34.479        -44.415
-34.461        -44.388
-34.434        -44.361
-34.425        -44.343
-34.407        -44.316
-34.389        -44.289
-34.371        -44.28
-34.353        -44.244
-34.326        -44.199
-34.308        -44.172
-34.29        -44.163
-34.272        -44.145
-34.254        -44.136
-34.227        -44.118
-34.209        -44.1
-34.182        -44.091
-34.164        -44.064
-34.137        -44.055
-34.119        -44.028
-34.092        -44.01
-34.065        -44.001
-34.038        -43.992
-34.02        -43.992
-33.993        -43.974
-33.975        -43.965
-33.966        -43.956
-33.957        -43.929
-33.957        -43.92
-33.948        -43.893
-33.948        -43.857
-33.93        -43.83
-33.876        -43.776
-33.813        -43.632
-33.75        -43.443
-33.696        -43.245
-33.651        -43.065
-33.606        -42.93
-33.57        -42.849
-33.543        -42.822
-33.516        -42.804
-33.48        -42.777
-33.453        -42.768
-33.417        -42.768
-33.381        -42.741
-33.336        -42.723
-33.291        -42.696
-33.255        -42.66
-33.219        -42.615
-33.183        -42.552
-33.147        -42.48
-33.12        -42.399
-33.084        -42.336
-33.057        -42.282
-33.021        -42.255
-32.994        -42.228
-32.958        -42.201
-32.922        -42.192
-32.886        -42.165
-32.841        -42.129
-32.805        -42.102
-32.769        -42.057
-32.733        -41.976
-32.688        -41.913
-32.661        -41.868
-32.625        -41.823
-32.58        -41.778
-32.535        -41.733
-32.499        -41.706
-32.463        -41.67
-32.418        -41.634
-32.382        -41.589
-32.337        -41.544
-32.301        -41.472
-32.256        -41.4
-32.211        -41.319
-32.166        -41.256
-32.13        -41.193
-32.085        -41.148
-32.049        -41.112
-32.004        -41.076
-31.959        -41.04
-31.914        -40.977
-31.869        -40.941
-31.824        -40.887
-31.779        -40.824
-31.734        -40.752
-31.689        -40.68
-31.644        -40.608
-31.59        -40.536
-31.545        -40.464
-31.5        -40.392
-31.446        -40.32
-31.401        -40.248
-31.347        -40.185
-31.302        -40.149
-31.257        -40.113
-31.212        -40.077
-31.167        -40.041
-31.113        -39.996
-31.059        -39.933
-31.005        -39.861
-30.951        -39.78
-30.897        -39.681
-30.843        -39.591
-30.789        -39.492
-30.744        -39.42
-30.69        -39.366
-30.645        -39.321
-30.591        -39.285
-30.537        -39.249
-30.483        -39.204
-30.429        -39.141
-30.375        -39.087
-30.33        -39.024
-30.276        -38.934
-30.213        -38.853
-30.159        -38.763
-30.105        -38.664
-30.051        -38.583
-29.988        -38.493
-29.925        -38.421
-29.871        -38.367
-29.817        -38.304
-29.763        -38.241
-29.709        -38.196
-29.655        -38.124
-29.601        -38.025
-29.529        -37.917
-29.466        -37.836
-29.412        -37.728
-29.358        -37.656
-29.295        -37.593
-29.241        -37.539
-29.178        -37.485
-29.115        -37.44
-29.052        -37.377
-28.989        -37.314
-28.935        -37.233
-28.872        -37.125
-28.809        -36.99
-28.746        -36.864
-28.674        -36.756
-28.611        -36.693
-28.548        -36.657
-28.485        -36.621
-28.422        -36.576
-28.359        -36.531
-28.305        -36.468
-28.233        -36.396
-28.161        -36.288
-28.089        -36.153
-28.017        -36.018
-27.954        -35.91
-27.891        -35.82
-27.837        -35.748
-27.774        -35.676
-27.702        -35.604
-27.63        -35.505
-27.558        -35.397
-27.486        -35.307
-27.423        -35.217
-27.36        -35.163
-27.297        -35.1
-27.225        -35.028
-27.153        -34.929
-27.09        -34.821
-27.018        -34.704
-26.937        -34.596
-26.865        -34.515
-26.784        -34.452
-26.721        -34.38
-26.658        -34.281
-26.595        -34.209
-26.514        -34.101
-26.433        -33.993
-26.37        -33.885
-26.307        -33.804
-26.235        -33.741
-26.163        -33.678
-26.082        -33.606
-26.01        -33.516
-25.938        -33.381
-25.875        -33.237
-25.794        -33.093
-25.704        -32.985
-25.632        -32.913
-25.569        -32.868
-25.497        -32.796
-25.425        -32.724
-25.344        -32.616
-25.254        -32.472
-25.182        -32.328
-25.101        -32.193
-25.029        -32.112
-24.948        -32.04
-24.876        -31.977
-24.795        -31.932
-24.714        -31.86
-24.642        -31.761
-24.57        -31.644
-24.489        -31.5
-24.408        -31.365
-24.327        -31.257
-24.246        -31.176
-24.174        -31.104
-24.093        -31.005
-24.021        -30.897
-23.94        -30.78
-23.85        -30.654
-23.769        -30.537
-23.679        -30.429
-23.598        -30.348
-23.526        -30.276
-23.445        -30.168
-23.364        -30.06
-23.283        -29.916
-23.202        -29.772
-23.112        -29.673
-23.031        -29.601
-22.95        -29.529
-22.878        -29.457
-22.788        -29.376
-22.707        -29.268
-22.626        -29.133
-22.536        -29.016
-22.455        -28.908
-22.374        -28.8
-22.284        -28.692
-22.194        -28.584
-22.104        -28.449
-22.023        -28.332
-21.933        -28.206
-21.843        -28.08
-21.753        -27.954
-21.681        -27.837
-21.591        -27.729
-21.519        -27.648
-21.429        -27.549
-21.339        -27.468
-21.249        -27.369
-21.159        -27.261
-21.069        -27.126
-20.979        -27
-20.889        -26.883
-20.808        -26.784
-20.727        -26.685
-20.637        -26.568
-20.538        -26.433
-20.439        -26.298
-20.358        -26.181
-20.277        -26.064
-20.187        -25.956
-20.106        -25.848
-20.016        -25.713
-19.917        -25.596
-19.818        -25.452
-19.728        -25.326
-19.638        -25.209
-19.548        -25.11
-19.44        -25.02
-19.35        -24.903
-19.26        -24.786
-19.179        -24.696
-19.089        -24.588
-18.999        -24.48
-18.909        -24.372
-18.828        -24.237
-18.729        -24.093
-18.63        -23.949
-18.522        -23.796
-18.432        -23.661
-18.342        -23.571
-18.261        -23.472
-18.162        -23.364
-18.054        -23.229
-17.955        -23.076
-17.856        -22.941
-17.775        -22.833
-17.694        -22.752
-17.604        -22.68
-17.505        -22.572
-17.406        -22.446
-17.307        -22.293
-17.199        -22.14
-17.109        -21.996
-17.001        -21.888
-16.911        -21.771
-16.821        -21.663
-16.731        -21.555
-16.623        -21.429
-16.533        -21.285
-16.434        -21.141
-16.335        -20.988
-16.236        -20.844
-16.137        -20.709
-16.047        -20.628
-15.957        -20.529
-15.858        -20.421
-15.759        -20.304
-15.66        -20.16
-15.561        -20.025
-15.453        -19.908
-15.354        -19.791
-15.255        -19.656
-15.147        -19.494
-15.048        -19.341
-14.949        -19.197
-14.841        -19.089
-14.742        -18.981
-14.652        -18.873
-14.553        -18.756
-14.454        -18.639
-14.364        -18.504
-14.265        -18.369
-14.166        -18.225
-14.058        -18.081
-13.95        -17.964
-13.851        -17.829
-13.752        -17.712
-13.653        -17.604
-13.554        -17.478
-13.455        -17.325
-13.347        -17.172
-13.239        -17.019
-13.14        -16.884
-13.041        -16.749
-12.942        -16.632
-12.852        -16.497
-12.744        -16.362
-12.645        -16.218
-12.546        -16.092
-12.438        -15.984
-12.33        -15.885
-12.222        -15.777
-12.123        -15.66
-12.024        -15.525
-11.916        -15.381
-11.808        -15.237
-11.709        -15.084
-11.601        -14.949
-11.493        -14.796
-11.394        -14.652
-11.286        -14.508
-11.196        -14.373
-11.097        -14.265
-10.989        -14.148
-10.881        -14.022
-10.773        -13.896
-10.674        -13.752
-10.557        -13.617
-10.449        -13.473
-10.35        -13.356
-10.251        -13.221
-10.152        -13.104
-10.035        -12.96
-9.918        -12.807
-9.801        -12.663
-9.702        -12.51
-9.612        -12.357
-9.504        -12.204
-9.405        -12.051
-9.297        -11.925
-9.198        -11.817
-9.081        -11.709
-8.973        -11.574
-8.865        -11.448
-8.775        -11.313
-8.667        -11.196
-8.559        -11.052
-8.442        -10.917
-8.334        -10.773
-8.226        -10.656
-8.118        -10.548
-8.01        -10.44
-7.902        -10.341
-7.812        -10.224
-7.704        -10.089
-7.587        -9.954
-7.488        -9.801
-7.38        -9.648
-7.254        -9.477
-7.146        -9.333
-7.056        -9.216
-6.957        -9.081
-6.84        -8.946
-6.723        -8.82
-6.606        -8.712
-6.507        -8.613
-6.408        -8.532
-6.3        -8.424
-6.183        -8.289
-6.084        -8.1
-5.976        -7.821
-5.868        -7.524
-5.733        -7.281
-5.625        -7.146
-5.535        -7.083
-5.445        -6.993
-5.346        -6.876
-5.211        -6.705
-5.094        -6.516
-4.977        -6.345
-4.869        -6.228
-4.77        -6.111
-4.653        -5.985
-4.545        -5.841
-4.437        -5.688
-4.338        -5.517
-4.221        -5.364
-4.113        -5.211
-4.005        -5.067
-3.897        -4.932
-3.789        -4.806
-3.681        -4.707
-3.582        -4.608
-3.474        -4.5
-3.357        -4.356
-3.24        -4.212
-3.132        -4.059
-3.024        -3.897
-2.925        -3.744
-2.817        -3.573
-2.709        -3.42
-2.592        -3.276
-2.475        -3.141
-2.367        -3.024
-2.259        -2.889
-2.142        -2.736
-2.025        -2.592
-1.908        -2.439
-1.8        -2.304
-1.701        -2.169
-1.593        -2.052
-1.494        -1.935
-1.377        -1.809
-1.269        -1.665
-1.161        -1.512
-1.053        -1.332
-0.927        -1.152
-0.819        -0.981
-0.72        -0.828
-0.621        -0.657
-0.513        -0.504
-0.387        -0.333
-0.27        -0.171
-0.162        -0.027
0        0
shoulder_practical_trace   elbow_practical_trace
0        0
0        0
0        0
0        0
0        0
-0.009        0
-0.018        0
-0.108        0
-0.243        0
-0.423        0
-0.558        0
-0.702        0
-0.837        -0.054
-0.963        -0.216
-1.116        -0.396
-1.251        -0.495
-1.377        -0.504
-1.512        -0.549
-1.692        -0.648
-1.818        -0.828
-1.98        -1.017
-2.115        -1.332
-2.331        -1.845
-2.52        -2.565
-2.682        -3.204
-2.781        -3.537
-2.835        -3.6
-2.88        -3.672
-2.997        -3.96
-3.168        -4.32
-3.339        -4.608
-3.411        -4.716
-3.456        -4.752
-3.546        -4.833
-3.708        -4.977
-3.852        -5.148
-3.96        -5.292
-4.032        -5.364
-4.122        -5.409
-4.23        -5.481
-4.356        -5.616
-4.464        -5.805
-4.572        -6.057
-4.698        -6.309
