interpolation_sholuder   interpolation_elbow
-34.9424        -44.9259
-34.9486        -44.934
-34.955        -44.9421
-34.9611        -44.95
-34.967        -44.9575
-34.9723        -44.9643
-34.9768        -44.9702
-34.9803        -44.9747
-34.9827        -44.9778
-34.9848        -44.9804
-34.9873        -44.9837
-34.9901        -44.9873
-34.993        -44.9909
-34.9957        -44.9944
-34.9981        -44.9975
-34.9999        -44.9999
-35.001        -45.0012
-35.0011        -45.0014
-35        -45
-34.9986        -44.9982
-34.9977        -44.997
-34.997        -44.9961
-34.9964        -44.9954
-34.9957        -44.9944
-34.9946        -44.9931
-34.993        -44.991
-34.9906        -44.9879
-34.9873        -44.9836
-34.9827        -44.9778
-34.9779        -44.9715
-34.9735        -44.9659
-34.9694        -44.9606
-34.9653        -44.9554
-34.9611        -44.95
-34.9566        -44.9442
-34.9515        -44.9377
-34.9457        -44.9302
-34.9389        -44.9215
-34.9309        -44.9112
-34.9226        -44.9005
-34.9148        -44.8904
-34.9072        -44.8807
-34.8997        -44.8711
-34.8921        -44.8613
-34.8841        -44.851
-34.8756        -44.8401
-34.8663        -44.8281
-34.8561        -44.815
-34.8447        -44.8003
-34.8329        -44.7852
-34.8216        -44.7707
-34.8106        -44.7565
-34.7997        -44.7425
-34.7886        -44.7282
-34.7772        -44.7136
-34.7652        -44.6982
-34.7525        -44.6818
-34.7389        -44.6642
-34.724        -44.6452
-34.7088        -44.6256
-34.6941        -44.6067
-34.6797        -44.5882
-34.6653        -44.5697
-34.6508        -44.5511
-34.636        -44.532
-34.6206        -44.5122
-34.6044        -44.4914
-34.5873        -44.4694
-34.5691        -44.446
-34.5505        -44.4221
-34.5324        -44.3988
-34.5145        -44.3758
-34.4967        -44.3529
-34.4788        -44.3299
-34.4606        -44.3064
-34.4418        -44.2823
-34.4222        -44.2571
-34.4017        -44.2308
-34.3801        -44.2029
-34.3581        -44.1746
-34.3365        -44.147
-34.3153        -44.1197
-34.2941        -44.0924
-34.2728        -44.065
-34.2511        -44.0372
-34.2289        -44.0086
-34.206        -43.9791
-34.1821        -43.9484
-34.1571        -43.9163
-34.1317        -43.8836
-34.1068        -43.8516
-34.0822        -43.82
-34.0576        -43.7884
-34.0329        -43.7566
-34.0079        -43.7244
-33.9823        -43.6916
-33.956        -43.6578
-33.9288        -43.6227
-33.9004        -43.5862
-33.8717        -43.5493
-33.8434        -43.513
-33.8155        -43.477
-33.7875        -43.4411
-33.7595        -43.4051
-33.7311        -43.3686
-33.7022        -43.3314
-33.6726        -43.2933
-33.642        -43.254
-33.6103        -43.2132
-33.5782        -43.172
-33.5467        -43.1314
-33.5154        -43.0912
-33.4841        -43.051
-33.4527        -43.0107
-33.421        -42.9699
-33.3888        -42.9285
-33.3558        -42.8861
-33.322        -42.8425
-33.287        -42.7975
-33.2517        -42.7521
-33.2168        -42.7073
-33.1822        -42.6628
-33.1476        -42.6184
-33.113        -42.5738
-33.078        -42.5288
-33.0424        -42.4831
-33.0062        -42.4366
-32.9691        -42.3888
-32.9308        -42.3396
-32.8923        -42.29
-32.8541        -42.241
-32.8163        -42.1923
-32.7785        -42.1437
-32.7405        -42.0949
-32.7023        -42.0458
-32.6635        -41.9959
-32.624        -41.9452
-32.5836        -41.8933
-32.5422        -41.8399
-32.5004        -41.7862
-32.459        -41.733
-32.4179        -41.6802
-32.3769        -41.6275
-32.3358        -41.5745
-32.2943        -41.5212
-32.2523        -41.4672
-32.2096        -41.4124
-32.1661        -41.3564
-32.1214        -41.299
-32.0764        -41.2411
-32.0319        -41.1839
-31.9876        -41.127
-31.9434        -41.0701
-31.8991        -41.0131
-31.8544        -40.9557
-31.8093        -40.8976
-31.7634        -40.8387
-31.7167        -40.7786
-31.6689        -40.7172
-31.6209        -40.6554
-31.5732        -40.5941
-31.5258        -40.5331
-31.4784        -40.4722
-31.4309        -40.4112
-31.3831        -40.3498
